inchikey,split
AAAAZQPHATYWOK-JXMROGBWSA-N,test
AAADQEFQWNJHOZ-UHFFFAOYSA-N,train
AAAGJRIQWZJWDJ-FQEVSTJZSA-N,train
AAAHTCZONLHYSA-UHFFFAOYSA-N,test
AAALVYBICLMAMA-UHFFFAOYSA-N,train
AAAQFGUYHFJNHI-SFHVURJKSA-N,test
AAAXBDFZRXKRPL-UHFFFAOYSA-N,train
AABSZBMLGKTAOK-YGWYNWFMSA-N,train
AACFRJDPYQPXPD-UHFFFAOYSA-N,train
AACVKVMUDUPMQI-UHFFFAOYSA-N,train
AACWUFIIMOHGSO-UHFFFAOYSA-N,train
AADCDMQTJNYOSS-LBPRGKRZSA-N,train
AADSOLQDZDPBJN-UHFFFAOYSA-N,train
AADWBQLQKGQDIM-UHFFFAOYSA-N,train
AAEKULYONKUBOZ-UHFFFAOYSA-N,test
AAELEHAFAYIZRH-KDURUIRLSA-N,train
AAELEHAFAYIZRH-WGSAOQKQSA-N,train
AAEYTMMNWWKSKZ-UHFFFAOYSA-N,test
AAFHSECTTHOVFV-UHFFFAOYSA-N,train
AAFHYERZITZNLX-UHFFFAOYSA-N,train
AAGFUBVEYGNBKZ-UHFFFAOYSA-N,val
AAGKMGNYUYCEPD-UHFFFAOYSA-N,train
AAGOVSWSOCZTHE-UHFFFAOYSA-N,train
AAGVCJFRSHQFKK-CMDGGOBGSA-N,val
AAGVXWXEAOHUAD-UHFFFAOYSA-N,train
AAGWKHSEAIXNGH-RBFZIWAESA-N,train
AAHKGRWRYBCWDL-UHFFFAOYSA-N,train
AAHLCKVWZXFMPB-UHFFFAOYSA-N,train
AAHNBILIYONQLX-UHFFFAOYSA-N,train
AAHPRKDUIDQODH-UHFFFAOYSA-N,test
AAHXNWIGTPUBBQ-UHFFFAOYSA-N,train
AAIVPEBVZWQHCI-UHFFFAOYSA-N,test
AAJHOEQMTSTUJP-UHFFFAOYSA-N,val
AAJIHHYEPHRIET-IYWVPRTKSA-N,train
AAJQCSICTDAGMQ-UHFFFAOYSA-N,train
AAJTYVYNIZOVQM-UHFFFAOYSA-N,train
AAKDISFYBVCWAI-UHFFFAOYSA-N,train
AAKGHBVKMSAASI-UHFFFAOYSA-N,train
AAKINVLWVHDFDQ-MHZLTWQESA-N,train
AAKJLRGGTJKAMG-UHFFFAOYSA-N,train
AAKOOCDMPALFJX-UHFFFAOYSA-N,train
AAKVCHBQVYHBAI-UHFFFAOYSA-N,train
AAKYKCSHUIKMET-UHFFFAOYSA-N,test
AALGASVVWIUGPX-UHFFFAOYSA-N,train
AALMZTNNZVHOAS-UHFFFAOYSA-N,val
AALSIMHTWOFTTB-UHFFFAOYSA-N,val
AAMCSMBAZLAERM-UHFFFAOYSA-N,train
AAMGFBVEDVRXBV-WIBUTAKZSA-N,train
AAMHEKBKKUYLPS-GUSZCTEKSA-N,train
AAMKUWYDJAVAKV-UHFFFAOYSA-N,train
AAMMMTHCBLGALB-UHFFFAOYSA-N,train
AAMZEJILAVQVEW-UHFFFAOYSA-N,train
AANHDPNKSQAGIM-UHFFFAOYSA-N,test
AANIJTSZXXIJRN-BGERDNNASA-N,train
AAOMTCRNGRTIQQ-UHFFFAOYSA-N,train
AAONJNLMLWRZJE-UHFFFAOYSA-N,train
AAOSTHUYAHBMNL-UHFFFAOYSA-N,train
AAOVHYUXFRDTEK-NRFANRHFSA-N,train
AAPAORIXJDXFOD-UHFFFAOYSA-N,train
AAPCMUAAQFZHRZ-DDDLIOIYSA-N,train
AAPMNKHOEMXGDK-UHFFFAOYSA-N,train
AAPNNVKAQPYKAA-UHFFFAOYSA-N,train
AAPXNHMQKBDDJN-AVRDEDQJSA-N,train
AAPXNHMQKBDDJN-GCJKJVERSA-N,train
AAPXNHMQKBDDJN-PGRDOPGGSA-N,train
AAPXNHMQKBDDJN-XMSQKQJNSA-N,train
AAPXNHMQKBDDJN-YSYXNDDBSA-N,train
AAQRPCKTDGZDPR-QGZVFWFLSA-N,train
AAQUEQYOKSKIDA-UHFFFAOYSA-N,train
AAQUTCQUQREQSP-VIQWUECVSA-N,train
AAQZZAVVFRIEOD-UHFFFAOYSA-N,train
AARBVSHAOOSSTN-CQSZACIVSA-N,train
AARLSAHQVGPBSH-UHFFFAOYSA-N,train
AARNOCAMFKCGLS-QGZVFWFLSA-N,train
AARRKLWESWJSEE-UHFFFAOYSA-N,train
AARUDAJTDANRJK-UHFFFAOYSA-N,train
AARWRAFDYZSYPD-UHFFFAOYSA-N,train
AARWZLCCVAYIQN-UHFFFAOYSA-N,train
AASBFJIEFSDMGW-VHPWLNBFSA-N,train
AASGDYPVVLTOTG-UHFFFAOYSA-N,train
AASJSIBMAXVMRQ-RUDMXATFSA-N,val
AASKJKFOWFARIP-UHFFFAOYSA-N,train
AASSITCVMHLTIO-MDZDMXLPSA-N,train
AASZEODWFQQIRF-UHFFFAOYSA-N,train
AATCBLYHOUOCTO-UHFFFAOYSA-N,val
AATCVLWFSZDJGG-UHFFFAOYSA-N,train
AAUBXOLWHARFEP-UHFFFAOYSA-N,train
