murcko_scaffold_mode,split_scaffold
c1ccc2sc(COc3ccc(Nc4ccnc5ccccc45)cc3)nc2c1,test
c1ccc(C2c3ccccc3C3=NCCN32)cc1,train
c1ccc(OCc2ccc3scc(-c4cccnc4)c3c2)cc1,train
O=C(Nc1ccccc1)c1ccc(C(=O)Nc2cccc(Nc3ncc(-c4cccnc4)s3)c2)s1,test
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,train
c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,test
c1ccc(Nc2nccc3c(Nc4ncccc4-c4ccncn4)cccc23)cc1,train
c1ccc2c(c1)CCCO2,train
O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,train
c1ccc(-c2ccc(C3=NNC(c4ccc5c(c4)OCO5)C3)cc2)cc1,train
c1coc(-c2nccc(-n3cccn3)n2)c1,train
O=C(NC[C@@H]1CCCN1)c1ccccc1,train
O=C(c1ccc(-c2ccncc2C#Cc2cccnc2)cc1)N1CCNCC1,train
O=C(CCCN1CCC(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,train
O=C(Oc1ccccc1)C1C2CCC(CC1c1ccccc1)N2,test
O=C(N[C@H]1CC[C@@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,train
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,train
O=C(Nc1ccccc1)c1cc2cc3c(nc2s1)CCCC3,test
O=C1NCc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2N1c1ccccc1,train
c1ccc(Nc2ncnc3ccccc23)cc1,train
O=C(Nc1ccccc1)Nc1ccc(Nc2ncnc3c2cnn3-c2ccccc2)cc1,val
c1cc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2)c2cnsc2c1,train
c1ccc(Nc2nccc(-c3cnc4[nH]ccc4c3)n2)cc1,train
C(=C/c1c(-c2ccccc2)ncn1CCN1CCCC1)\c1ccncn1,val
O=C1Nc2ccccc2Nc2nccc(Nc3ccccc3)c21,train
O=C(NCc1ccccc1)C1SCCN1C(=O)CCCc1ccccc1,train
c1ccc(-c2nn(C3CCCC3)c3ncncc23)cc1,train
c1ccc2c(c1)CNCC2c1ccc2[nH]ccc2c1,train
O=C1Nc2ccccc2CCC1n1cc(-c2ccc(-n3ccnc3)cc2)nn1,train
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1)NC1CCNCC1,test
c1ccc2c(c1)CCC2,train
c1ccc2c(N3CCNCC3)c3c(nc2c1)CCCC3,test
O=C(NCc1ccccc1)C1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,val
O=C1CCC2C3=CCC4CCCC4C3=CC[C@H]2C1,train
O=C(Nc1ccc(-c2nc(N3CCNCC3)nc(N3CCOCC3)n2)cc1)Nc1ccc2c(c1)COC2=O,train
O=C(Nc1ccccc1)c1cnc(N2CCC2)c(-c2cncnc2)c1,train
O=C(Nc1cccc(-c2cncc(N3CCOCC3)c2)c1)c1ccncc1,train
O=C(Nc1cccc(-c2cncc(C3COC3)c2)c1)c1ccccn1,train
O=C1NCc2cccc([C@H](Nc3ccc4ncccc4c3)C3=CN(C4CC4)NN3)c21,train
O=C(Nc1cccnc1)c1cccc2cncnc12,train
O=C(Nc1cc2ccc(-c3ccccc3)cc2cn1)C1CC1,train
O=C1Nc2cc(CNC3CCNCC3)ccc2Nc2nccc(Nc3ccccc3)c21,test
O=C(Nc1cccc(Nc2ncccc2-c2ncnc3[nH]cnc23)c1)c1ccccc1,train
c1ccc(CCc2coc3ncncc23)cc1,val
O=C(Cc1ccccc1)OCCOc1ccc2c(Nc3ccccc3)ncnc2c1,val
c1ccc(Oc2cn(-c3ccccc3)c3ccccc23)cc1,train
O=S(=O)(N[C@H]1CC[C@H](CCc2ccccc2)CC1)c1ccccc1,train
O=C(CCCc1ccccc1)N1CC[C@@H]2CCC[C@@H]21,train
O=c1c(-c2cncc(NS(=O)(=O)c3ccccc3)c2)cc2cnccc2n1C1CCCC1,train
O=C1COc2ccccc2N1Cc1nnc(-c2ccccn2)[nH]1,train
c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,train
O=C1NCc2c1c1c(c3c2c2cc(C4CCCCO4)ccc2n3C2CCCC2)CCc2n[nH]cc2-1,test
O=C(CCc1ccc(-c2cn(Cc3ccccc3)nn2)cc1)N1CCCC1,train
c1ccc(-c2ncn(-c3ccccn3)c2-c2ccccc2)cc1,train
c1ccc(C23CC2CN(CCCSc2nnc(-c4cccc5ncccc45)[nH]2)C3)cc1,train
c1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1,train
C1=NN(Cc2nc3ccccc3n2C[C@@H]2CCO2)CCN1c1cccc(OCc2ccccc2)n1,train
c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,train
c1cc2c(c(N3CCN(CCC4CCCCC4)CC3)c1)OCO2,train
O=C(Nc1ccccc1)Nc1ccc(Oc2ncnc3cc[nH]c23)cc1,train
C1=C(c2c[nH]c3ccccc23)CCN(Cc2ccccc2)C1,train
c1ccc([C@@H]2C[C@]23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,train
c1ccc([C@H]2C[C@]23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,train
c1ccc([C@@H]2C[C@@]23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,train
c1ccc([C@H]2C[C@@]23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,train
c1ccc(C2C[C@]23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,train
O=c1cc2nc(N3CCCCC3)[nH]n2c(=O)n1Cc1ncc2ccccc2n1,train
O=C1c2ccccc2S(=O)(=O)N1CCCCCN1CCN(c2ccccc2)CC1,train
O=C(CCc1ccc(-c2ccccc2)cc1)N1CCCC1,train
c1ccc(Oc2ccccc2)cc1,train
c1ccc(CNc2ncnc3sc(-c4ccccc4)cc23)cc1,train
O=C1NC(c2ccccc2)C(=O)N1CCCN1CCN(Cc2ccccc2)CC1,train
O=C(CCCc1ccccc1)N1CCCN(S(=O)(=O)c2ccccc2)CC1,train
S=C(Nc1ccccc1)Nc1cccc(Sc2ncnc3ccccc23)c1,train
c1ccc(-c2cn3ccccc3[nH+]2)cc1,train
O=C(NCCCCN1CCN(c2ccccc2)CC1)c1cn(Cc2ccccc2)nn1,train
c1ccc(-c2nnc(SCCCNCC3CC3c3ccccc3)[nH]2)cc1,train
O=C(N[C@H]1CC[C@H](CCN2CCc3scnc3C2)CC1)c1cccc2n[nH]cc12,train
C(#Cc1cnccc1-c1cccnc1)c1cccnc1,train
O=C(/C=C/CN1CC2CC1CN2)Nc1cccc(Nc2nccc(Nc3ccccc3)n2)c1,val
O=C(Nc1ccccc1)c1cncnc1NCc1ccncc1,train
O=C(Nc1ccon1)c1cccc(/C=C/n2cnc3c(NC4CC4)ncnc32)c1,train
c1ccc(CCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,train
O=C(CN1CCNCC1)Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)c2sc3ccccc3c12,val
c1ccc(Oc2ccncc2)cc1,train
O=c1ccn(CCCCCn2ccc(=O)n(CCCCC[NH2+]Cc3ccccc3)c2=O)c(=O)[nH]1,train
c1ccc2c(c1)ncn1nc(C3CCCN(c4cnn(C5CCOCC5)c4)C3)nc21,train
O=C(NCC12CC3CC(CC(C3)C1)C2)c1ncnc2ccccc12,test
S=C1Cc2cnc(Nc3cccnc3)nc2-c2ccccc2N1,train
O=C(CNc1nc(Nc2ccc(S(=O)(=O)Nc3cncs3)cc2)nc(N2CCOCC2)n1)Nc1ccccc1,train
c1ccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc1,train
O=C(Nc1ccccc1-c1ccccc1)OC1CCN(CCNC(=O)c2ccc(CNCCc3cccc4[nH]c(=O)ccc34)cc2)CC1,train
c1ccc2c(c1)COC2c1cccc2ccccc12,val
O=C1CNC[C@@H](COc2ccc3c(Nc4ccccc4)ncnc3c2)N1,train
c1ccc(-c2ccc(COc3cccc(CC4CC4)c3)cc2)cc1,train
c1ccc(C2=NNC(c3ccccc3)C2)cc1,train
O=S(=O)(c1cccc2ncccc12)N1CCC[C@H]1CCN1CCC(c2noc3ccccc23)CC1,val
O=S(=O)(c1cccc2ncccc12)N1CCC[C@@H]1CCN1CCC(c2noc3ccccc23)CC1,val
O=C(Nc1ccccc1)c1cccc(-c2cc(N3CCOCC3)ncn2)c1,train
O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccccc1,train
c1ccc(N2CCC(COc3cccc(CC4CC4)c3)CC2)cc1,train
O=C(Nc1ccccc1)Nc1ccc(-c2csc3ccncc23)cc1,train
C1=C(c2cccc(COc3ccccc3)c2)CCCC1,test
c1ccc(CCc2ncc3nc(-n4nccn4)[nH]c3n2)cc1,val
c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)nc1,train
O=c1ccc2c(CNCCCCCCOCCCCc3ccccc3)cccc2[nH]1,train
c1ccc(COc2cccc3ccccc23)cc1,train
O=C(CSc1nc2ccccc2n2cnnc12)Nc1ccc(C(=O)Nc2ccccc2)cc1,train
O=C(Nc1ccccc1)c1cnc(N2CCCC2)c(-c2ncc[nH]2)c1,train
c1ccc(-c2cn3cc(-c4ccco4)nc3cn2)cc1,train
O=C(c1ccc(-c2ncncc2C#Cc2cccnc2)cc1)N1CCCNCC1,train
O=C1OCCN1Cn1c(CN2CCC(c3cccc(OCc4ccccc4)n3)CC2)nc2ccccc21,test
O=C(COc1ccccc1)N(CCCc1ccccc1)c1cccc(-c2ncon2)c1C1CC1,train
O=S(=O)(Nc1cncc(-c2ccc3nccn3c2)c1)c1ccccc1,train
c1cc2c(s1)COCC2,train
c1ccc(Nc2ccnc3ccccc23)cc1,train
O=C(Nc1ccccc1)Nc1ccc2sc(-c3cccnc3)cc2c1,train
c1ccc(Nc2nccc(Nc3ccc4c[nH]nc4c3)n2)cc1,train
c1nc(Nc2ccc(Oc3ccn4ncnc4c3)cc2)c2c3c(ccc2n1)NCCO3,train
c1ccc(Nc2ncnc3n[nH]c(Nc4ccccc4)c23)cc1,train
c1ccc(-c2nc[nH]c2-c2ccnc3[nH]cc(-c4ccccc4)c23)cc1,train
O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1,train
c1ccc2c(c1)CCC21CCN(Cc2ccc3[nH]c4ccccc4c3c2)CC1,val
c1ccc(-c2ccnc(-c3ccco3)c2)cc1,train
O=C(CCc1ccccc1)N1C[C@H]2CCC[C@H]2C1,train
O=C1c2ccccc2CC1Oc1cccc(CN2CCCCC2)c1,train
c1ccc(Oc2cccc(CNc3ccc(C4CC4)cc3)c2)cc1,train
c1ccc(Nc2ccc3ncc(-c4cn[nH]c4)nc3c2)cc1,train
c1ccc2c(-c3ccncc3)nnc(NC3CCCC3)c2c1,val
c1ccc(Nc2cc(-n3cnnc3-c3ccccc3)ccn2)cc1,train
c1ccc2c(c1)CCN(CCC1CCCCC1)C2,train
O=C(Nc1ccccc1)Nc1cc(Nc2ccccc2)ncn1,train
c1cc2c(c(N3CCN(CCC4CCCCC4)CC3)n1)CCO2,train
c1ccc(-c2nc(CCOc3ccc(C[C@@H]4CCN(c5ncccn5)C4)cc3)co2)cc1,train
